player_name,team,image_url
VR Iyer,Kolkata Knight Riders,https://documents.iplt20.com/ipl/IPLHeadshot2025/584.png
A Badoni,Lucknow Super Giants,
AK Markram,Lucknow Super Giants,
Abdul Samad,Lucknow Super Giants,
Akash Deep,Lucknow Super Giants,
Akash Singh,Lucknow Super Giants,
Avesh Khan,Lucknow Super Giants,
DA Miller,Lucknow Super Giants,
DS Rathi,Lucknow Super Giants,
M Siddharth,Lucknow Super Giants,
MP Breetzke,Lucknow Super Giants,
MP Yadav,Lucknow Super Giants,
MR Marsh,Lucknow Super Giants,
N Pooran,Lucknow Super Giants,
Prince Yadav,Lucknow Super Giants,
RR Pant,Lucknow Super Giants,
Ravi Bishnoi,Lucknow Super Giants,
SN Thakur,Lucknow Super Giants,
Shahbaz Ahmed,Lucknow Super Giants,
W O'Rourke,Lucknow Super Giants,
Ashwani Kumar,Mumbai Indians,
C Bosch,Mumbai Indians,
DL Chahar,Mumbai Indians,
HH Pandya,Mumbai Indians,https://documents.iplt20.com/ipl/IPLHeadshot2025/54.png
JJ Bumrah,Mumbai Indians,https://documents.iplt20.com/ipl/IPLHeadshot2025/9.png
JM Bairstow,Mumbai Indians,https://documents.iplt20.com/ipl/IPLHeadshot2025/216.png
KV Sharma,Mumbai Indians,
MJ Santner,Mumbai Indians,
Mujeeb Ur Rahman,Mumbai Indians,
Naman Dhir,Mumbai Indians,
PVSN Raju,Mumbai Indians,
R Minz,Mumbai Indians,
RA Bawa,Mumbai Indians,
RD Rickelton,Mumbai Indians,
RG Sharma,Mumbai Indians,https://documents.iplt20.com/ipl/IPLHeadshot2025/6.png
RJ Gleeson,Mumbai Indians,
RJW Topley,Mumbai Indians,
SA Yadav,Mumbai Indians,https://documents.iplt20.com/ipl/IPLHeadshot2025/174.png
TA Boult,Mumbai Indians,
Tilak Varma,Mumbai Indians,
V Puthur,Mumbai Indians,
WG Jacks,Mumbai Indians,
Arshdeep Singh,Punjab Kings,
Azmatullah Omarzai,Punjab Kings,
GJ Maxwell,Punjab Kings,
Harpreet Brar,Punjab Kings,
JP Inglis,Punjab Kings,
KA Jamieson,Punjab Kings,
LH Ferguson,Punjab Kings,
M Jansen,Punjab Kings,
MJ Owen,Punjab Kings,
MP Stoinis,Punjab Kings,
Musheer Khan,Punjab Kings,
N Wadhera,Punjab Kings,
P Dubey,Punjab Kings,
P Simran Singh,Punjab Kings,
Priyansh Arya,Punjab Kings,
SS Iyer,Punjab Kings,
Shashank Singh,Punjab Kings,
Suryansh Shedge,Punjab Kings,
Vijaykumar Vyshak,Punjab Kings,
XC Bartlett,Punjab Kings,
Yash Thakur,Punjab Kings,
Akash Madhwal,Rajasthan Royals,
Dhruv Jurel,Rajasthan Royals,
Fazalhaq Farooqi,Rajasthan Royals,
JC Archer,Rajasthan Royals,
K Kartikeya,Rajasthan Royals,
KS Rathore,Rajasthan Royals,
KT Maphaka,Rajasthan Royals,
M Theekshana,Rajasthan Royals,
N Rana,Rajasthan Royals,
PWH de Silva,Rajasthan Royals,
R Parag,Rajasthan Royals,
SB Dubey,Rajasthan Royals,
SO Hetmyer,Rajasthan Royals,
SV Samson,Rajasthan Royals,
Sandeep Sharma,Rajasthan Royals,
TU Deshpande,Rajasthan Royals,
V Suryavanshi,Rajasthan Royals,
YBK Jaiswal,Rajasthan Royals,
YS Chahal,Rajasthan Royals,
Yudhvir Singh,Rajasthan Royals,
B Kumar,Royal Challengers Bengaluru,https://documents.iplt20.com/ipl/IPLHeadshot2025/15.png
D Padikkal,Royal Challengers Bengaluru,https://documents.iplt20.com/ipl/IPLHeadshot2026/200.png
JG Bethell,Royal Challengers Bengaluru,
JM Sharma,Royal Challengers Bengaluru,https://documents.iplt20.com/ipl/IPLHeadshot2025/1000.png
JR Hazlewood,Royal Challengers Bengaluru,https://documents.iplt20.com/ipl/IPLHeadshot2025/36.png
KH Pandya,Royal Challengers Bengaluru,https://documents.iplt20.com/ipl/IPLHeadshot2025/17.png
L Ngidi,Royal Challengers Bengaluru,
LS Livingstone,Royal Challengers Bengaluru,https://documents.iplt20.com/ipl/IPLHeadshot2025/183.png
MA Agarwal,Royal Challengers Bengaluru,https://documents.iplt20.com/ipl/IPLHeadshot2025/55.png
MS Bhandage,Royal Challengers Bengaluru,
N Thushara,Royal Challengers Bengaluru,https://documents.iplt20.com/ipl/IPLHeadshot2025/813.png
PD Salt,Royal Challengers Bengaluru,https://documents.iplt20.com/ipl/IPLHeadshot2025/1220.png
R Shepherd,Royal Challengers Bengaluru,https://documents.iplt20.com/ipl/IPLHeadshot2025/371.png
RM Patidar,Royal Challengers Bengaluru,https://documents.iplt20.com/ipl/IPLHeadshot2025/597.png
Rasikh Salam,Royal Challengers Bengaluru,
Suyash Sharma,Royal Challengers Bengaluru,https://documents.iplt20.com/ipl/IPLHeadshot2025/1932.png
TH David,Royal Challengers Bengaluru,https://documents.iplt20.com/ipl/IPLHeadshot2025/636.png
V Kohli,Royal Challengers Bengaluru,https://documents.iplt20.com/ipl/IPLHeadshot2025/2.png
Yash Dayal,Royal Challengers Bengaluru,
A Manohar,Sunrisers Hyderabad,
A Zampa,Sunrisers Hyderabad,
Abhishek Sharma,Sunrisers Hyderabad,https://documents.iplt20.com/ipl/IPLHeadshot2025/212.png
Aniket Verma,Sunrisers Hyderabad,
Atharva Taide,Sunrisers Hyderabad,
E Malinga,Sunrisers Hyderabad,
H Klaasen,Sunrisers Hyderabad,
HV Patel,Sunrisers Hyderabad,
Harsh Dubey,Sunrisers Hyderabad,
Ishan Kishan,Sunrisers Hyderabad,https://documents.iplt20.com/ipl/IPLHeadshot2025/164.png
JD Unadkat,Sunrisers Hyderabad,
Mohammed Shami,Sunrisers Hyderabad,https://documents.iplt20.com/ipl/IPLHeadshot2025/47.png
Nithish Kumar Reddy,Sunrisers Hyderabad,https://documents.iplt20.com/ipl/IPLHeadshot2025/1944.png
PHKD Mendis,Sunrisers Hyderabad,
PJ Cummins,Sunrisers Hyderabad,https://documents.iplt20.com/ipl/IPLHeadshot2025/33.png
PWA Mulder,Sunrisers Hyderabad,
Simarjeet Singh,Sunrisers Hyderabad,
TM Head,Sunrisers Hyderabad,
Zeeshan Ansari,Sunrisers Hyderabad,
